code_module,code_presentation,id_student,date_registration
AAA,2013J,11391,-159.0
AAA,2013J,28400,-53.0
AAA,2013J,30268,-92.0
AAA,2013J,31604,-52.0
AAA,2013J,32885,-176.0
AAA,2013J,38053,-110.0
AAA,2013J,45462,-67.0
AAA,2013J,45642,-29.0
AAA,2013J,52130,-33.0
AAA,2013J,53025,-179.0
AAA,2013J,57506,-103.0
AAA,2013J,58873,-47.0
AAA,2013J,59185,-59.0
AAA,2013J,62155,-68.0
AAA,2013J,63400,-67.0
AAA,2013J,65002,-180.0
AAA,2013J,70464,-95.0
AAA,2013J,71361,-130.0
AAA,2013J,74372,-50.0
AAA,2013J,75091,-107.0
AAA,2013J,77367,-27.0
AAA,2013J,91265,-31.0
AAA,2013J,94961,-170.0
AAA,2013J,98094,-107.0
AAA,2013J,100893,-62.0
AAA,2013J,101781,-103.0
AAA,2013J,102806,-107.0
AAA,2013J,102952,-100.0
AAA,2013J,104476,-109.0
AAA,2013J,106247,5.0
AAA,2013J,106577,-107.0
AAA,2013J,110175,-110.0
AAA,2013J,111717,-43.0
AAA,2013J,113295,-26.0
AAA,2013J,114017,-29.0
AAA,2013J,114999,-68.0
AAA,2013J,116541,-68.0
AAA,2013J,116692,-32.0
AAA,2013J,118983,-99.0
AAA,2013J,123044,-82.0
AAA,2013J,127582,-31.0
AAA,2013J,129955,-197.0
AAA,2013J,132976,-75.0
AAA,2013J,134143,-96.0
AAA,2013J,135335,-29.0
AAA,2013J,135400,-32.0
AAA,2013J,137873,-195.0
AAA,2013J,141355,-61.0
AAA,2013J,141377,-110.0
AAA,2013J,142326,-37.0
AAA,2013J,144801,-67.0
AAA,2013J,145130,-36.0
AAA,2013J,146188,-132.0
AAA,2013J,147756,-92.0
AAA,2013J,147793,-138.0
AAA,2013J,148993,-174.0
AAA,2013J,151358,-44.0
AAA,2013J,155550,-16.0
AAA,2013J,155854,-54.0
AAA,2013J,155984,-64.0
AAA,2013J,157568,-52.0
AAA,2013J,159954,-46.0
AAA,2013J,164259,-64.0
AAA,2013J,167906,-117.0
AAA,2013J,168936,-32.0
AAA,2013J,172112,-50.0
AAA,2013J,172797,-45.0
AAA,2013J,174782,-162.0
